Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M
01/30/2025,Q4 24,12/24,,,,82.551B,,,,,292.99B
10/24/2024,Q3 24,09/24,,,,73.647B,,,,,296.75B
07/25/2024,Q2 24,06/24,,,,71.013B,,,,,299.79B
04/25/2024,Q1 24,03/24,,,,65.776B,,,,,303.38B
01/30/2024,Q4 23,12/23,,86.310B,72.324B,70.975B,1.90%,,,-7.50%,307.39B
10/24/2023,Q3 23,09/23,,76.693B,64.051B,63.044B,1.60%,,,-9.51%,297.13B
07/25/2023,Q2 23,06/23,,74.604B,62.067B,60.270B,2.98%,,,5.78%,289.53B
04/25/2023,Q1 23,03/23,,69.787B,58.066B,56.981B,1.90%,,,-0.13%,284.61B
02/02/2023,Q4 22,12/22,,76.048B,63.123B,63.207B,-0.13%,,,-2.75%,282.84B
10/25/2022,Q3 22,09/22,,69.092B,57.266B,58.198B,-1.60%,,,-9.14%,282.11B
07/26/2022,Q2 22,06/22,,69.685B,57.470B,58.544B,-1.83%,,,7.66%,278.14B
04/26/2022,Q1 22,03/22,,68.011B,56.021B,56.611B,-1.04%,,,-3.67%,270.33B
02/01/2022,Q4 21,12/21,,75.325B,61.898B,59.353B,4.29%,,,7.52%,257.64B
10/26/2021,Q3 21,09/21,,65.118B,53.620B,52.617B,1.91%,,,4.96%,239.21B
07/27/2021,Q2 21,06/21,,61.880B,50.951B,45.786B,11.28%,,,3.18%,220.27B
04/27/2021,Q1 21,03/21,,55.314B,45.602B,42.611B,7.02%,,,2.97%,196.68B
02/02/2021,Q4 20,12/20,,56.898B,46.432B,44.116B,5.25%,,,7.28%,182.53B
10/29/2020,Q3 20,09/20,,46.173B,38.007B,35.363B,7.48%,,,3.80%,171.70B
07/30/2020,Q2 20,06/20,,38.297B,31.603B,31.049B,1.78%,,,-3.28%,166.03B
04/28/2020,Q1 20,03/20,,41.159B,33.707B,33.104B,1.82%,,,8.89%,166.68B
02/03/2020,Q4 19,12/19,,46.075B,37.574B,38.687B,-2.88%,,,-2.51%,161.86B
10/28/2019,Q3 19,09/19,,40.499B,33.009B,32.963B,0.14%,,,-2.20%,155.06B
07/25/2019,Q2 19,06/19,,38.944B,31.706B,30.839B,2.81%,,,9.62%,148.30B
04/29/2019,Q1 19,03/19,,36.339B,29.479B,30.037B,-1.86%,,,-7.50%,142.01B
02/04/2019,Q4 18,12/18,,39.276B,31.840B,31.326B,1.64%,,,0.92%,136.82B
10/25/2018,Q3 18,09/18,,33.740B,27.158B,27.334B,-0.64%,,,-1.80%,129.87B
07/23/2018,Q2 18,06/18,,32.657B,26.237B,25.546B,2.71%,,,3.89%,123.90B
04/23/2018,Q1 18,03/18,,31.146B,24.858B,24.273B,2.41%,,,-4.77%,117.25B
02/01/2018,Q4 17,12/17,,32.323B,25.873B,25.576B,1.16%,,,-5.28%,110.86B
10/26/2017,Q3 17,09/17,,27.772B,22.270B,21.951B,1.45%,,,4.26%,104.60B
07/24/2017,Q2 17,06/17,,26.010B,20.919B,20.921B,-0.01%,,,-2.93%,99.28B
04/27/2017,Q1 17,03/17,,24.750B,20.121B,19.748B,1.89%,,,3.71%,94.77B
01/26/2017,Q4 16,12/16,,26.064B,21.216B,20.598B,3.00%,,,-1.39%,90.27B
10/27/2016,Q3 16,09/16,,22.451B,18.269B,18.003B,1.48%,,,0.27%,85.54B
07/28/2016,Q2 16,06/16,,21.500B,17.525B,16.859B,3.95%,,,3.33%,81.76B
04/21/2016,Q1 16,03/16,,20.257B,16.469B,16.586B,-0.71%,,,-5.41%,77.99B
02/01/2016,Q4 15,12/15,,21.329B,17.274B,16.864B,2.43%,,,1.32%,74.99B
10/22/2015,Q3 15,09/15,,18.675B,15.109B,15.038B,0.47%,,,5.61%,71.76B
07/16/2015,Q2 15,06/15,,17.727B,14.350B,14.284B,0.47%,,,16.26%,69.61B
04/23/2015,Q1 15,03/15,,17.258B,13.913B,14.026B,-0.81%,,,2.91%,67.84B
01/29/2015,Q4 14,12/14,,18.103B,14.483B,14.839B,-2.40%,,,4.74%,66.00B
10/16/2014,Q3 14,09/14,,16.523B,13.170B,13.194B,-0.18%,,,-2.60%,63.61B
07/17/2014,Q2 14,06/14,,15.955B,12.670B,12.320B,2.84%,,,4.18%,60.84B
04/16/2014,Q1 14,03/14,,15.420B,12.190B,12.267B,-0.63%,,,-3.65%,57.99B
01/30/2014,Q4 13,12/13,,15.707B,13.550B,13.408B,1.06%,,,4.01%,55.52B
10/17/2013,Q3 13,09/13,,13.754B,11.920B,11.640B,2.40%,,,13.80%,
07/18/2013,Q2 13,06/13,,13.107B,11.100B,11.324B,-1.98%,,,-1.55%,
04/18/2013,Q1 13,03/13,,12.951B,11.010B,11.195B,-1.66%,,,4.43%,
