Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M
01/31/2025,Q4 24,12/24,,,,45.132B,,,,,158.57B
10/25/2024,Q3 24,09/24,,,,39.214B,,,,,153.55B
07/26/2024,Q2 24,06/24,,,,38.168B,,,,,148.48B
04/26/2024,Q1 24,03/24,,,,36.059B,,~35.750B,,,142.31B
02/01/2024,Q4 23,12/23,,40.111B,40.111B,39.009B,2.82%,~38.250B,4.87%,20.32%,134.90B
10/25/2023,Q3 23,09/23,,34.146B,34.146B,33.515B,1.88%,~33.250B,2.69%,-3.73%,126.96B
07/26/2023,Q2 23,06/23,,31.999B,31.999B,31.064B,3.01%,~30.750B,4.06%,4.40%,120.52B
04/26/2023,Q1 23,03/23,,28.645B,28.645B,27.669B,3.53%,~27.250B,5.12%,13.93%,117.35B
02/01/2023,Q4 22,12/22,,32.165B,32.165B,31.637B,1.67%,~31.250B,2.93%,23.28%,116.61B
10/26/2022,Q3 22,09/22,,27.714B,27.714B,27.419B,1.07%,~27.250B,1.70%,-24.56%,118.12B
07/27/2022,Q2 22,06/22,,28.822B,28.822B,28.933B,-0.38%,~29.000B,-0.61%,-5.22%,119.41B
04/27/2022,Q1 22,03/22,,27.908B,27.908B,28.236B,-1.16%,~28.000B,-0.33%,17.59%,119.67B
02/02/2022,Q4 21,12/21,,33.671B,33.671B,33.433B,0.71%,~32.750B,2.81%,-26.39%,117.93B
10/25/2021,Q3 21,09/21,,29.010B,29.010B,29.453B,-1.51%,,,-3.92%,112.33B
07/28/2021,Q2 21,06/21,,29.077B,29.077B,27.872B,4.32%,,,-4.01%,104.79B
04/28/2021,Q1 21,03/21,,26.171B,26.171B,23.715B,10.36%,,,7.30%,94.40B
01/27/2021,Q4 20,12/20,,28.072B,28.072B,26.407B,6.30%,,,-2.62%,85.97B
10/29/2020,Q3 20,09/20,,21.470B,21.470B,19.853B,8.14%,,,-6.31%,78.98B
07/30/2020,Q2 20,06/20,,18.687B,18.687B,17.314B,7.93%,,,8.17%,75.16B
04/29/2020,Q1 20,03/20,,17.737B,17.737B,17.271B,2.70%,,,5.42%,73.36B
01/29/2020,Q4 19,12/19,,21.082B,21.082B,20.889B,0.93%,,,-6.14%,70.70B
10/30/2019,Q3 19,09/19,,17.652B,17.652B,17.347B,1.76%,,,1.81%,66.53B
07/24/2019,Q2 19,06/19,,16.886B,16.886B,16.492B,2.39%,,,-1.93%,62.60B
04/24/2019,Q1 19,03/19,,15.077B,15.077B,14.973B,0.69%,,,5.85%,58.95B
01/30/2019,Q4 18,12/18,,16.914B,16.914B,16.387B,3.21%,,,10.82%,55.84B
10/30/2018,Q3 18,09/18,,13.727B,13.727B,13.802B,-0.55%,,,3.81%,51.90B
07/25/2018,Q2 18,06/18,,13.231B,13.231B,13.330B,-0.74%,,,-18.96%,48.50B
04/25/2018,Q1 18,03/18,,11.966B,11.966B,11.411B,4.87%,,,9.06%,44.59B
01/31/2018,Q4 17,12/17,,12.972B,12.972B,12.548B,3.38%,,,3.32%,40.65B
11/01/2017,Q3 17,09/17,,10.328B,10.328B,9.842B,4.93%,,,-2.05%,36.49B
07/26/2017,Q2 17,06/17,,9.321B,9.321B,9.203B,1.28%,,,2.92%,33.17B
05/03/2017,Q1 17,03/17,,8.032B,8.032B,7.831B,2.57%,,,-0.63%,30.29B
02/01/2017,Q4 16,12/16,,8.809B,8.809B,8.514B,3.47%,,,-1.79%,27.64B
11/02/2016,Q3 16,09/16,,7.011B,7.011B,6.921B,1.31%,,,-5.64%,24.67B
07/27/2016,Q2 16,06/16,,6.436B,6.436B,6.005B,7.18%,,,1.35%,22.16B
04/27/2016,Q1 16,03/16,,5.382B,5.382B,5.267B,2.19%,,,7.20%,19.77B
01/27/2016,Q4 15,12/15,,5.841B,5.841B,5.371B,8.76%,,,15.52%,17.93B
11/04/2015,Q3 15,09/15,,4.501B,4.501B,4.368B,3.04%,,,4.64%,15.94B
07/29/2015,Q2 15,06/15,,4.042B,4.042B,3.992B,1.25%,,,-1.84%,14.64B
04/22/2015,Q1 15,03/15,,3.543B,3.543B,3.567B,-0.69%,,,-2.62%,13.51B
01/28/2015,Q4 14,12/14,,3.851B,3.851B,3.773B,2.05%,~3.709B,3.82%,2.31%,12.47B
10/28/2014,Q3 14,09/14,,3.203B,3.203B,3.117B,2.75%,,,-6.08%,11.20B
07/23/2014,Q2 14,06/14,,2.910B,2.910B,2.809B,3.59%,,,5.18%,10.01B
04/23/2014,Q1 14,03/14,,2.502B,2.502B,2.356B,6.19%,,,-0.80%,8.92B
01/29/2014,Q4 13,12/13,,2.585B,2.585B,2.354B,9.80%,,,14.10%,7.87B
10/30/2013,Q3 13,09/13,,2.016B,2.016B,1.910B,5.55%,,,2.44%,
07/24/2013,Q2 13,06/13,,1.813B,1.813B,1.618B,12.02%,,,29.61%,
05/01/2013,Q1 13,03/13,,1.458B,1.458B,1.440B,1.26%,,,5.61%,
