Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M
02/21/2025,Q4 25,01/25,,,,29.842B,,,,,107.31B
11/21/2024,Q3 25,10/24,,,,27.782B,,,,,99.57B
08/23/2024,Q2 25,07/24,,,,25.601B,,,,,89.91B
05/24/2024,Q1 25,04/24,,,,24.083B,,~24.000B,,,77.81B
02/21/2024,Q4 24,01/24,,22.103B,22.103B,20.412B,8.28%,~20.000B,10.52%,16.40%,60.92B
11/21/2023,Q3 24,10/23,,18.120B,18.120B,16.092B,12.60%,~16.000B,13.25%,-2.46%,44.87B
08/23/2023,Q2 24,07/23,,13.507B,13.507B,11.042B,22.32%,11.000B,22.79%,0.10%,32.68B
05/24/2023,Q1 24,04/23,,7.192B,7.192B,6.515B,10.39%,6.500B,10.65%,24.37%,25.88B
02/22/2023,Q4 23,01/23,,6.051B,6.051B,6.019B,0.52%,6.000B,0.85%,14.02%,26.97B
11/16/2022,Q3 23,10/22,,5.931B,5.931B,5.800B,2.25%,5.900B,0.53%,-1.46%,28.57B
08/24/2022,Q2 23,07/22,,6.704B,6.700B,6.702B,-0.02%,8.100B,-17.28%,4.01%,29.74B
05/25/2022,Q1 23,05/22,,8.288B,8.288B,8.100B,2.32%,8.100B,2.32%,5.16%,29.54B
02/16/2022,Q4 22,01/22,,7.643B,7.643B,7.419B,3.02%,7.400B,3.28%,-7.56%,26.91B
11/17/2021,Q3 22,10/21,,7.103B,7.103B,6.808B,4.33%,6.800B,4.46%,8.25%,24.27B
08/18/2021,Q2 22,08/21,,6.507B,6.507B,6.332B,2.76%,~6.300B,3.29%,3.98%,21.90B
05/26/2021,Q1 22,05/21,,5.661B,5.661B,5.417B,4.50%,>5.300B,6.81%,-1.35%,19.26B
02/24/2021,Q4 21,01/21,,5.003B,5.003B,4.821B,3.77%,4.800B,4.23%,-8.22%,16.68B
11/18/2020,Q3 21,10/20,,4.726B,4.726B,4.421B,6.91%,4.400B,7.41%,0.09%,14.78B
08/19/2020,Q2 21,07/20,,3.866B,3.866B,3.653B,5.84%,~3.650B,5.92%,0.02%,13.07B
05/21/2020,Q1 21,04/20,,3.080B,3.080B,2.998B,2.73%,3.000B,2.67%,2.86%,11.78B
02/13/2020,Q4 20,01/20,,3.105B,3.105B,2.969B,4.57%,~2.950B,5.25%,7.02%,10.92B
11/14/2019,Q3 20,10/19,,3.014B,3.014B,2.909B,3.61%,~2.900B,3.93%,-2.67%,10.02B
08/15/2019,Q2 20,07/19,,2.579B,2.579B,2.543B,1.41%,2.550B,1.14%,7.25%,10.19B
05/16/2019,Q1 20,04/19,,2.220B,2.220B,2.194B,1.17%,2.200B,0.91%,-2.28%,10.73B
02/14/2019,Q4 19,01/19,,2.205B,2.205B,2.202B,0.14%,~2.200B,0.23%,1.82%,11.72B
11/15/2018,Q3 19,10/18,,3.181B,3.181B,3.239B,-1.79%,~3.250B,-2.12%,-18.76%,12.42B
08/16/2018,Q2 19,07/18,,3.123B,3.123B,3.105B,0.58%,~3.100B,0.74%,-4.90%,11.88B
05/10/2018,Q1 19,04/18,,3.207B,3.207B,2.899B,10.63%,~2.900B,10.59%,-2.15%,10.98B
02/08/2018,Q4 18,01/18,,2.911B,2.911B,2.676B,8.78%,~2.650B,9.85%,6.69%,9.71B
11/09/2017,Q3 18,10/17,,2.636B,2.636B,2.362B,11.62%,~2.350B,12.17%,5.27%,8.98B
08/10/2017,Q2 18,07/17,,2.230B,2.230B,1.963B,13.61%,~1.950B,14.36%,-5.33%,8.34B
05/09/2017,Q1 18,04/17,,1.937B,1.937B,1.909B,1.48%,~1.900B,1.95%,17.83%,7.54B
02/09/2017,Q4 17,01/17,,2.173B,2.173B,2.107B,3.15%,~2.100B,3.48%,-2.37%,6.91B
11/10/2016,Q3 17,10/16,,2.004B,2.004B,1.692B,18.41%,~1.680B,19.29%,29.81%,6.14B
08/11/2016,Q2 17,07/16,,1.428B,1.428B,1.353B,5.56%,~1.350B,5.78%,5.59%,5.44B
05/12/2016,Q1 17,05/16,,1.305B,1.305B,1.265B,3.18%,~1.260B,3.57%,15.21%,5.16B
02/17/2016,Q4 16,01/16,,1.401B,1.401B,1.311B,6.84%,~1.300B,7.77%,8.60%,5.01B
11/05/2015,Q3 16,10/15,,1.305B,1.305B,1.182B,10.39%,~1.180B,10.59%,13.86%,4.86B
08/06/2015,Q2 16,07/15,,1.153B,1.153B,1.014B,13.66%,~1.010B,14.16%,12.37%,4.78B
05/07/2015,Q1 16,04/15,,1.151B,1.151B,1.161B,-0.89%,~1.160B,-0.78%,-7.40%,4.73B
02/11/2015,Q4 15,01/15,,1.251B,1.251B,1.203B,3.97%,1.200B,4.21%,7.16%,4.68B
11/06/2014,Q3 15,10/14,,1.225B,1.225B,1.202B,1.95%,~1.200B,2.12%,-2.13%,4.58B
08/07/2014,Q2 15,07/14,,1.103B,1.103B,1.103B,0.00%,~1.100B,0.26%,8.82%,4.40B
05/06/2014,Q1 15,04/14,,1.103B,1.103B,1.054B,4.63%,~1.050B,5.03%,-2.04%,4.28B
02/12/2014,Q4 14,01/14,,1.144B,1.144B,1.053B,8.62%,~1.050B,8.97%,3.15%,4.13B
11/07/2013,Q3 14,10/13,,1.054B,1.054B,1.052B,0.17%,~1.050B,0.38%,6.98%,
08/08/2013,Q2 14,07/13,,977.238M,977.238M,976.517M,0.07%,~975.000M,0.23%,-1.42%,
05/09/2013,Q1 14,04/13,,954.739M,954.739M,940.667M,1.50%,~940.000M,1.57%,4.53%,
