Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M,P/E
Average of Absolute Values,,,,,,,,,,,,
01/31/2025,Q4 24,12/24,,,,1.49,,,,,5.1,34.23
10/25/2024,Q3 24,09/24,,,,1.357,,,,,4.64,37.63
08/02/2024,Q2 24,06/24,,,,1.225,,,,,4.15,42.07
04/26/2024,Q1 24,03/24,,,,1.027,,,,,3.56,49.04
02/01/2024,Q4 23,12/23,,1.033,1.604,1.041,54.11%,,,7.87%,2.93,51.86
10/26/2023,Q3 23,09/23,,0.862,1.398,0.918,52.29%,,,6.83%,2.13,59.68
08/03/2023,Q2 23,06/23,,0.636,1.313,0.633,107.42%,,,8.27%,1.46,89.29
04/27/2023,Q1 23,03/23,,0.401,0.769,0.481,59.85%,,,-3.98%,0.93,111.06
02/02/2023,Q4 22,12/22,,0.228,0.747,0.531,40.69%,,,-8.43%,0.74,113.51
10/27/2022,Q3 22,09/22,,0.196,0.732,0.441,65.91%,,,-6.80%,0.99,114.14
07/28/2022,Q2 22,06/22,,0.103,0.615,0.496,24.08%,,,10.36%,1.1,96.55
04/28/2022,Q1 22,03/22,,0.212,0.531,0.631,-15.78%,,,-14.05%,1.76,92.61
02/03/2022,Q4 21,12/21,,0.481,0.841,0.389,116.24%,,,13.54%,2.34,71.25
10/28/2021,Q3 21,09/21,,0.306,0.306,0.662,-53.71%,,,-2.15%,2.56,64.16
07/29/2021,Q2 21,06/21,,0.76,0.756,0.788,-4.06%,,,-7.56%,2.87,59.93
04/29/2021,Q1 21,03/21,,0.79,0.79,0.657,20.17%,,,-0.11%,2.63,58.82
02/02/2021,Q4 20,12/20,,0.705,0.705,0.513,37.33%,,,-2.00%,2.09,77.92
10/29/2020,Q3 20,09/20,,0.618,0.618,0.566,9.28%,,,-5.45%,1.71,92.07
07/30/2020,Q2 20,06/20,,0.515,0.515,0.358,43.85%,,,3.70%,1.3,106.11
04/30/2020,Q1 20,03/20,,0.251,0.251,0.453,-44.70%,,,-7.60%,1.05,92.84
01/30/2020,Q4 19,12/19,,0.324,0.324,0.354,-8.62%,,,7.38%,1.15,80.34
10/24/2019,Q3 19,09/19,,0.212,0.212,0.377,-43.90%,,,-1.09%,1.13,76.81
07/25/2019,Q2 19,06/19,,0.261,0.261,0.407,-35.87%,,,-1.56%,1.21,78.25
04/25/2019,Q1 19,03/19,,0.355,0.355,0.351,1.00%,,,2.54%,1.2,74.2
01/31/2019,Q4 18,12/18,,0.302,0.302,0.398,-24.12%,,,-5.38%,1.01,74.35
10/25/2018,Q3 18,09/18,,0.288,0.288,0.282,1.95%,,,-7.82%,0.81,123.64
07/26/2018,Q2 18,06/18,,0.254,0.254,0.253,0.20%,,,0.51%,0.55,154.53
04/26/2018,Q1 18,03/18,,0.164,0.257,0.156,64.99%,,,3.60%,0.32,226.15
02/01/2018,Q4 17,12/17,,0.108,0.185,0.191,-3.24%,,,2.87%,0.23,254.23
10/26/2017,Q3 17,09/17,,0.026,0.097,0.088,10.56%,,,13.22%,0.2,240.34
07/27/2017,Q2 17,06/17,,0.02,0.097,0.153,-36.92%,,,-2.48%,0.2,242.0
04/27/2017,Q1 17,03/17,,0.074,0.126,0.119,6.23%,,,0.72%,0.27,164.17
02/02/2017,Q4 16,12/16,,0.077,0.136,0.136,0.27%,,,-3.54%,0.25,149.97
10/27/2016,Q3 16,09/16,,0.026,0.106,0.1,5.98%,,,-5.14%,0.22,190.3
07/28/2016,Q2 16,06/16,,0.089,0.14,0.121,16.03%,,,0.82%,0.2,178.91
04/28/2016,Q1 16,03/16,,0.054,0.09,0.08,12.77%,,,9.57%,0.12,247.35
01/28/2016,Q4 15,12/15,,0.05,0.091,0.138,-34.02%,,,-7.61%,0.06,563.24
10/22/2015,Q3 15,09/15,,0.009,0.065,0.042,55.16%,,,6.23%,0.03,853.15
07/23/2015,Q2 15,06/15,,0.01,0.048,0.042,14.53%,,,9.80%,-0.01,
04/23/2015,Q1 15,03/15,,-0.006,0.023,0.032,-29.69%,,,14.13%,-0.03,
01/29/2015,Q4 14,12/14,,0.022,0.051,0.048,5.21%,,,13.71%,-0.02,
10/23/2014,Q3 14,09/14,,-0.036,-0.021,-0.001,-1972.89%,,,-8.34%,-0.01,
07/24/2014,Q2 14,06/14,,-0.014,0.014,0.029,-52.07%,,,-9.65%,0.02,811.95
04/24/2014,Q1 14,03/14,,0.012,0.034,0.039,-13.26%,,,-9.88%,0.03,560.61
01/30/2014,Q4 13,12/13,,0.026,0.048,0.062,-22.58%,,,-11.00%,0.03,664.65
10/24/2013,Q3 13,09/13,,-0.005,0.015,0.018,-13.98%,,,9.39%,,
07/25/2013,Q2 13,06/13,,-0.001,0.02,0.028,-28.57%,,,2.84%,,
04/25/2013,Q1 13,03/13,,0.009,0.025,0.026,-3.85%,,,-7.24%,,
