Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M,P/E
Average of Absolute Values,,,,,,,,,,,,
12/06/2024,Q3 25,10/24,,,,2.859,,,,,13.58,33.52
08/30/2024,Q2 25,07/24,,,,3.109,,,,,13.11,34.73
05/31/2024,Q1 25,04/24,,,,2.602,,,,,12.68,35.9
03/28/2024,Q4 24,01/24,,,,5.006,,~4.980,,,12.36,36.83
12/07/2023,Q3 24,10/23,,2.392,2.53,2.285,10.72%,~2.255,12.20%,5.37%,11.39,34.55
08/31/2023,Q2 24,07/23,,2.68,2.68,2.536,5.68%,~2.495,7.41%,6.01%,11.0,34.41
06/01/2023,Q1 24,04/23,,2.28,2.28,1.967,15.91%,~1.965,16.03%,11.30%,10.51,36.15
03/28/2023,Q4 23,01/23,,4.039,4.4,4.256,3.38%,~4.245,3.65%,12.72%,9.71,31.6
12/08/2022,Q3 23,10/22,,2.0,1.99,1.97,1.02%,~1.925,3.38%,-12.85%,9.04,36.4
09/01/2022,Q2 23,07/22,,2.193,2.2,1.872,17.52%,~1.845,19.24%,6.70%,8.67,35.81
06/02/2022,Q1 23,05/22,,1.48,1.48,1.431,3.42%,~1.405,5.34%,-0.59%,8.12,36.05
03/29/2022,Q4 22,01/22,,3.371,3.37,3.269,3.09%,~3.285,2.59%,9.58%,7.81,42.73
12/09/2021,Q3 22,10/21,,1.621,1.62,1.405,15.30%,~1.355,19.56%,-1.76%,7.01,66.48
09/08/2021,Q2 22,08/21,,1.649,1.65,1.189,38.77%,~1.125,46.67%,10.47%,6.55,61.09
06/03/2021,Q1 22,05/21,,1.166,1.16,0.908,27.75%,~0.880,31.82%,3.83%,5.63,57.39
03/30/2021,Q4 21,01/21,,2.578,2.58,2.494,3.45%,,,-3.27%,4.69,70.08
12/10/2020,Q3 21,11/20,,1.158,1.16,0.876,32.42%,,,-6.71%,4.39,84.33
09/08/2020,Q2 21,08/20,,0.733,0.74,0.563,31.44%,,,-7.40%,4.19,89.66
06/11/2020,Q1 21,05/20,,0.22,0.22,0.228,-3.51%,,,-3.82%,4.42,67.89
03/26/2020,Q4 20,02/20,,2.28,2.28,2.25,1.33%,~2.235,2.01%,-5.96%,4.94,44.01
12/11/2019,Q3 20,11/19,,0.96,0.96,0.934,2.78%,~0.910,5.49%,-3.74%,4.51,50.04
09/05/2019,Q2 20,08/19,,0.96,0.956,0.889,7.50%,~0.870,9.85%,7.82%,4.26,43.35
06/12/2019,Q1 20,05/19,,0.74,0.74,0.703,5.26%,~0.690,7.25%,2.12%,4.01,41.29
03/27/2019,Q4 19,02/19,,1.846,1.85,1.745,6.02%,~1.655,11.78%,14.13%,3.82,39.38
12/06/2018,Q3 19,10/18,,0.71,0.75,0.695,7.91%,~0.660,13.64%,-13.37%,3.29,42.78
08/30/2018,Q2 19,07/18,,0.71,0.71,0.494,43.72%,~0.470,51.06%,13.09%,3.13,38.32
05/31/2018,Q1 19,04/18,,0.55,0.55,0.462,19.05%,~0.450,22.22%,16.32%,2.79,35.77
03/27/2018,Q4 18,01/18,,1.324,1.33,1.269,4.81%,~1.260,5.56%,9.21%,2.54,30.79
12/06/2017,Q3 18,10/17,,0.544,0.56,0.516,8.53%,~0.510,9.80%,6.43%,2.21,27.83
08/31/2017,Q2 18,07/17,,0.373,0.39,0.347,12.39%,~0.340,14.71%,7.19%,2.13,28.94
06/01/2017,Q1 18,04/17,,0.294,0.32,0.275,16.36%,~0.260,23.08%,11.55%,2.14,24.3
03/29/2017,Q4 17,01/17,,0.996,1.0,1.006,-0.60%,~1.000,0.00%,-23.44%,2.14,31.55
12/07/2016,Q3 17,10/16,,0.471,0.47,0.43,9.30%,~0.430,9.30%,15.04%,2.0,28.63
09/01/2016,Q2 17,07/16,,0.378,0.38,0.38,0.00%,~0.370,2.70%,-10.55%,1.88,41.3
06/08/2016,Q1 17,05/16,,0.298,0.3,0.306,-1.96%,~0.290,3.45%,4.90%,1.84,35.34
03/30/2016,Q4 16,01/16,,0.851,0.85,0.799,6.38%,~0.790,7.59%,10.71%,1.88,33.02
12/09/2015,Q3 16,11/15,,0.35,0.35,0.373,-6.17%,~0.360,-2.78%,-13.12%,1.81,26.42
09/10/2015,Q2 16,08/15,,0.34,0.34,0.334,1.80%,~0.320,6.25%,-16.41%,1.88,34.05
06/09/2015,Q1 16,05/15,,0.34,0.34,0.33,3.03%,~0.320,6.25%,10.97%,1.87,31.97
03/26/2015,Q4 15,02/15,,0.78,0.78,0.727,7.29%,~0.720,8.33%,4.93%,1.87,36.6
12/11/2014,Q3 15,11/14,,0.42,0.42,0.379,10.82%,~0.370,13.51%,9.11%,1.84,26.19
09/11/2014,Q2 15,08/14,,0.33,0.33,0.296,11.49%,~0.290,13.79%,13.91%,1.87,21.35
06/12/2014,Q1 15,05/14,,0.342,0.34,0.322,5.59%,~0.320,6.25%,-15.91%,1.93,23.12
03/27/2014,Q4 14,02/14,,0.75,0.75,0.719,4.31%,~0.720,4.17%,6.16%,1.91,26.34
12/12/2013,Q3 14,11/13,,0.45,0.45,0.409,10.02%,~0.400,12.50%,-11.65%,1.91,36.5
09/12/2013,Q2 14,08/13,,0.39,0.39,0.35,11.43%,~0.340,14.71%,-5.40%,,
06/10/2013,Q1 14,05/13,,0.32,0.32,0.302,5.96%,~0.290,10.34%,-17.54%,,
03/21/2013,Q4 13,02/13,,0.75,0.75,0.74,1.35%,0.74,1.35%,1.28%,,
