Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M,P/E
Average of Absolute Values,,,,,,,,,,,,
01/31/2025,Q4 24,12/24,,,,6.352,,,,,21.02,23.13
10/25/2024,Q3 24,09/24,,,,5.238,,,,,20.67,23.52
07/26/2024,Q2 24,06/24,,,,5.014,,,,,20.04,24.26
04/26/2024,Q1 24,03/24,,,,4.417,,,,,18.88,25.75
02/01/2024,Q4 23,12/23,,6.005,5.33,5.039,5.77%,,,20.32%,17.24,20.51
10/25/2023,Q3 23,09/23,,4.605,4.39,3.696,18.78%,,,-3.73%,15.3,19.6
07/26/2023,Q2 23,06/23,,3.852,2.98,2.868,3.91%,,,4.40%,12.45,23.03
04/26/2023,Q1 23,03/23,,2.782,2.21,2.484,-11.03%,,,13.93%,11.06,19.14
02/01/2023,Q4 22,12/22,,4.056,1.76,2.952,-40.38%,,,23.28%,11.0,10.93
10/26/2022,Q3 22,09/22,,1.76,1.64,2.272,-27.82%,,,-24.56%,10.61,12.77
07/27/2022,Q2 22,06/22,,2.46,2.46,3.142,-21.71%,,,-5.22%,12.07,13.35
04/27/2022,Q1 22,03/22,,2.72,2.72,3.125,-12.96%,,,17.59%,13.22,16.8
02/02/2022,Q4 21,12/21,,3.665,3.67,4.236,-13.36%,,,-26.39%,13.8,24.35
10/25/2021,Q3 21,09/21,,3.22,3.216,3.664,-12.23%,,,-3.92%,14.01,24.2
07/28/2021,Q2 21,06/21,,3.61,3.613,3.527,2.43%,,,-4.01%,13.5,25.73
04/28/2021,Q1 21,03/21,,3.3,3.822,2.611,46.39%,,,7.30%,11.69,25.17
01/27/2021,Q4 20,12/20,,3.88,4.413,3.538,24.73%,,,-2.62%,10.1,27.02
10/29/2020,Q3 20,09/20,,2.71,2.97,2.198,35.12%,,,-6.31%,8.78,29.8
07/30/2020,Q2 20,06/20,,1.8,2.293,1.768,29.70%,,,8.17%,8.2,27.66
04/29/2020,Q1 20,03/20,,1.71,2.1,2.06,1.95%,,,5.42%,8.24,20.22
01/29/2020,Q4 19,12/19,,2.56,2.914,2.811,3.68%,,,-6.14%,8.21,24.97
10/30/2019,Q3 19,09/19,,2.13,2.48,2.275,9.01%,,,1.81%,8.03,22.15
07/24/2019,Q2 19,06/19,,1.842,2.346,2.244,4.56%,,,-1.93%,7.66,25.17
04/24/2019,Q1 19,03/19,,1.676,2.17,1.938,11.99%,,,5.85%,7.56,22.03
01/30/2019,Q4 18,12/18,,2.38,2.674,2.502,6.87%,,,10.82%,7.57,17.3
10/30/2018,Q3 18,09/18,,1.76,2.074,1.848,12.23%,,,3.81%,7.4,22.2
07/25/2018,Q2 18,06/18,,1.74,2.095,2.014,4.01%,,,-18.96%,7.23,26.85
04/25/2018,Q1 18,03/18,,1.69,1.95,1.66,17.44%,,,9.06%,6.81,23.44
01/31/2018,Q4 17,12/17,,2.208,2.392,2.255,6.06%,,,3.32%,6.16,28.62
11/01/2017,Q3 17,09/17,,1.59,1.813,1.535,18.14%,,,-2.05%,5.16,33.08
07/26/2017,Q2 17,06/17,,1.32,1.546,1.384,11.67%,,,2.92%,4.47,33.74
05/03/2017,Q1 17,03/17,,1.04,1.358,1.117,21.54%,,,-0.63%,3.93,36.11
02/01/2017,Q4 16,12/16,,1.21,1.41,1.313,7.39%,,,-1.79%,3.49,32.93
11/02/2016,Q3 16,09/16,,0.9,1.09,0.974,11.91%,,,-5.64%,2.82,45.44
07/27/2016,Q2 16,06/16,,0.78,0.97,0.824,17.72%,,,1.35%,2.23,51.19
04/27/2016,Q1 16,03/16,,0.6,0.77,0.626,23.00%,,,7.20%,1.7,67.05
01/27/2016,Q4 15,12/15,,0.54,0.79,0.678,16.52%,,,15.52%,1.28,81.68
11/04/2015,Q3 15,09/15,,0.31,0.57,0.52,9.62%,,,4.64%,0.99,90.71
07/29/2015,Q2 15,06/15,,0.25,0.5,0.471,6.16%,,,-1.84%,0.98,87.42
04/22/2015,Q1 15,03/15,,0.18,0.42,0.403,4.22%,,,-2.62%,1.03,79.74
01/28/2015,Q4 14,12/14,,0.25,0.54,0.485,11.34%,,,2.31%,1.1,70.85
10/28/2014,Q3 14,09/14,,0.3,0.43,0.403,6.70%,,,-6.08%,1.05,75.2
07/23/2014,Q2 14,06/14,,0.3,0.42,0.322,30.43%,,,5.18%,0.92,73.06
04/23/2014,Q1 14,03/14,,0.25,0.34,0.24,41.67%,,,-0.80%,0.75,80.23
01/29/2014,Q4 13,12/13,,0.2,0.31,0.27,14.81%,,,14.10%,0.59,92.53
10/30/2013,Q3 13,09/13,,0.17,0.25,0.185,35.14%,,,2.44%,,
07/24/2013,Q2 13,06/13,,0.13,0.19,0.137,38.69%,,,29.61%,,
05/01/2013,Q1 13,03/13,,0.09,0.12,0.126,-4.76%,,,5.61%,,
