Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M,P/E
Average of Absolute Values,,,,,,,,,,,,
01/30/2025,Q2 25,12/24,,,,3.281,,,,,12.12,33.96
10/24/2024,Q1 25,09/24,,,,3.151,,,,,11.8,34.89
07/25/2024,Q4 24,06/24,,,,2.883,,,,,11.63,35.4
04/25/2024,Q3 24,03/24,,,,2.801,,,,,11.42,36.05
01/30/2024,Q2 24,12/23,,2.968,2.93,2.775,5.59%,,,-2.69%,11.06,33.94
10/24/2023,Q1 24,09/23,,2.975,2.99,2.658,12.49%,,,3.07%,10.42,30.19
07/25/2023,Q4 23,06/23,,2.673,2.69,2.555,5.28%,,,-3.76%,9.79,34.58
04/25/2023,Q3 23,03/23,,2.439,2.45,2.235,9.62%,,,7.24%,9.37,30.52
01/24/2023,Q2 23,12/22,,2.329,2.32,2.295,1.09%,,,-0.59%,9.16,25.9
10/25/2022,Q1 23,09/22,,2.349,2.35,2.297,2.31%,,,-7.72%,9.28,24.76
07/26/2022,Q4 22,06/22,,2.256,2.23,2.294,-2.79%,~2.280,-2.19%,6.69%,9.18,27.54
04/26/2022,Q3 22,03/22,,2.227,2.22,2.189,1.42%,,,4.81%,9.06,33.42
01/25/2022,Q2 22,12/21,,2.449,2.48,2.316,7.08%,,,2.85%,8.74,37.72
10/26/2021,Q1 22,09/21,,2.252,2.27,2.072,9.56%,,,4.21%,8.29,33.27
07/27/2021,Q4 21,06/21,,2.129,2.17,1.921,12.96%,,,-0.11%,7.84,33.74
04/27/2021,Q3 21,03/21,,1.912,1.95,1.781,9.49%,,,-2.83%,7.23,31.77
01/26/2021,Q2 21,12/20,,1.993,2.03,1.625,24.94%,,,0.25%,6.73,32.13
10/27/2020,Q1 21,09/20,,1.808,1.819,1.546,17.67%,,,-4.96%,6.23,32.73
07/22/2020,Q4 20,06/20,,1.521,1.46,1.363,7.12%,,,-4.35%,5.81,33.88
04/29/2020,Q3 20,03/20,,1.41,1.401,1.276,9.79%,,,1.00%,5.64,26.97
01/29/2020,Q2 20,12/19,,1.493,1.51,1.322,14.22%,,,2.82%,5.37,28.25
10/23/2019,Q1 20,09/19,,1.386,1.385,1.244,11.33%,,,1.97%,4.96,26.87
07/18/2019,Q4 19,06/19,,1.351,1.37,1.215,12.76%,,,0.15%,4.69,27.29
04/24/2019,Q3 19,03/19,,1.136,1.138,0.999,13.87%,,,3.31%,4.28,26.23
01/30/2019,Q2 19,12/18,,1.091,1.104,1.093,1.02%,,,-1.83%,4.04,23.83
10/24/2018,Q1 19,09/18,,1.115,1.136,0.962,18.11%,,,5.84%,3.9,27.68
07/19/2018,Q4 18,06/18,,0.935,1.13,1.077,4.92%,,,1.79%,3.57,25.97
04/26/2018,Q3 18,03/18,,0.898,0.953,0.849,12.19%,,,1.65%,3.55,24.07
01/31/2018,Q2 18,12/17,,0.948,0.96,0.862,11.37%,,,-0.79%,3.29,24.22
10/26/2017,Q1 18,09/17,,0.792,0.843,0.718,17.44%,,,6.41%,3.08,22.42
07/20/2017,Q4 17,06/17,,0.912,0.75,0.708,5.93%,,,-0.58%,2.97,21.4
04/27/2017,Q3 17,03/17,,0.634,0.73,0.699,4.43%,,,0.28%,2.84,21.26
01/26/2017,Q2 17,12/16,,0.742,0.84,0.786,6.87%,,,2.35%,2.74,20.67
10/20/2016,Q1 17,09/16,,0.687,0.76,0.683,11.27%,,,4.21%,2.74,19.03
07/19/2016,Q4 16,06/16,,0.773,0.69,0.582,18.56%,,,5.31%,2.68,17.18
04/21/2016,Q3 16,03/16,,0.54,0.62,0.638,-2.82%,,,-7.17%,2.4,20.56
01/28/2016,Q2 16,12/15,,0.74,0.78,0.71,9.86%,,,5.83%,2.47,19.92
10/22/2015,Q1 16,09/15,,0.63,0.67,0.587,14.14%,,,10.08%,2.47,15.79
07/21/2015,Q4 15,06/15,,0.49,0.62,0.58,6.90%,,,-3.68%,2.48,15.58
04/23/2015,Q3 15,03/15,,0.607,0.615,0.528,16.51%,,,10.45%,2.57,13.76
01/26/2015,Q2 15,12/14,,0.745,0.77,0.748,2.94%,,,-9.25%,2.63,15.25
10/23/2014,Q1 15,09/14,,0.643,0.65,0.551,17.97%,,,2.47%,2.66,14.96
07/22/2014,Q4 14,06/14,,0.573,0.58,0.604,-3.97%,,,0.09%,2.64,13.47
04/24/2014,Q3 14,03/14,,0.673,0.68,0.63,7.94%,,,0.13%,2.66,13.05
01/23/2014,Q2 14,12/13,,0.775,0.78,0.684,14.04%,,,2.08%,2.75,11.43
10/24/2013,Q1 14,09/13,,0.621,0.62,0.542,14.39%,,,5.96%,,
07/18/2013,Q4 13,06/13,,0.588,0.658,0.747,-11.90%,,,-11.40%,,
04/18/2013,Q3 13,03/13,,0.772,0.72,0.678,6.19%,,,3.39%,,
