Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M
Average of Absolute Values,,,,,,,,,,,
02/10/2025,Q4 24,12/24,,,,29.344B,,,,,94.67B
10/10/2024,Q3 24,09/24,,,,24.382B,,,,,93.18B
07/12/2024,Q2 24,06/24,,,,22.837B,,,,,92.25B
04/25/2024,Q1 24,03/24,,,,18.108B,,,,,91.73B
02/09/2024,Q4 23,12/23,,27.850B,27.850B,28.338B,-1.72%,,,-3.55%,91.47B
10/10/2023,Q3 23,09/23,,23.453B,23.453B,23.411B,0.18%,,,1.88%,91.62B
07/13/2023,Q2 23,06/23,,22.322B,22.322B,21.705B,2.84%,,,2.38%,90.14B
04/25/2023,Q1 23,03/23,,17.846B,17.846B,17.244B,3.49%,,,2.27%,88.04B
02/09/2023,Q4 22,12/22,,27.996B,27.996B,26.879B,4.16%,,,0.95%,86.39B
10/12/2022,Q3 22,09/22,,21.971B,21.971B,21.007B,4.59%,,,4.18%,83.64B
07/12/2022,Q2 22,06/22,,20.225B,20.225B,19.686B,2.74%,,,-0.57%,81.86B
04/26/2022,Q1 22,03/22,,16.200B,16.200B,15.566B,4.08%,,,-0.25%,80.85B
02/10/2022,Q4 21,12/21,,25.248B,25.248B,24.222B,4.24%,,,-2.08%,79.47B
10/05/2021,Q3 21,09/21,,20.189B,20.189B,19.524B,3.40%,,,0.59%,76.68B
07/13/2021,Q2 21,06/21,,19.217B,19.217B,18.111B,6.11%,,,2.31%,74.58B
04/15/2021,Q1 21,03/21,,14.820B,14.820B,14.549B,1.86%,,,0.14%,71.31B
02/11/2021,Q4 20,12/20,,22.455B,22.455B,21.806B,2.98%,,,-1.98%,70.37B
10/01/2020,Q3 20,09/20,,18.091B,18.091B,17.409B,3.92%,,,1.59%,68.56B
07/13/2020,Q2 20,06/20,,15.945B,15.945B,15.393B,3.59%,,,0.33%,67.65B
04/28/2020,Q1 20,03/20,,13.881B,13.881B,13.190B,5.24%,,,1.38%,68.16B
02/13/2020,Q4 19,12/19,,20.640B,20.640B,20.247B,1.94%,,,0.27%,67.16B
10/03/2019,Q3 19,09/19,,17.188B,17.188B,16.929B,1.53%,,,2.98%,66.05B
07/09/2019,Q2 19,06/19,,16.449B,16.449B,16.426B,0.14%,,,-0.62%,65.34B
04/17/2019,Q1 19,03/19,,12.884B,12.884B,12.689B,1.54%,,,3.76%,64.98B
02/15/2019,Q4 18,12/18,,19.524B,19.524B,19.503B,0.11%,,,2.95%,64.66B
10/02/2018,Q3 18,09/18,,16.485B,16.485B,16.335B,0.92%,,,-1.80%,64.66B
07/10/2018,Q2 18,06/18,,16.090B,16.090B,16.042B,0.30%,,,4.76%,64.42B
04/26/2018,Q1 18,03/18,,12.562B,12.562B,12.394B,1.35%,,,2.09%,64.04B
02/13/2018,Q4 17,12/17,,19.526B,19.526B,19.375B,0.78%,,,0.19%,63.53B
10/04/2017,Q3 17,09/17,,16.240B,16.240B,16.310B,-0.43%,,,0.19%,63.51B
07/11/2017,Q2 17,06/17,,15.710B,15.710B,15.575B,0.87%,,,-0.46%,63.30B
04/26/2017,Q1 17,03/17,,12.049B,12.049B,11.973B,0.63%,,,-0.73%,62.99B
02/15/2017,Q4 16,12/16,,19.515B,19.515B,19.506B,0.05%,,,-0.18%,62.80B
09/29/2016,Q3 16,09/16,,16.027B,16.027B,,,,,0.35%,61.87B
07/07/2016,Q2 16,06/16,,15.395B,15.395B,15.405B,-0.06%,,,1.48%,62.17B
04/18/2016,Q1 16,03/16,,11.862B,11.862B,11.887B,-0.21%,,,-0.05%,62.70B
02/11/2016,Q4 15,12/15,,18.585B,18.585B,18.524B,0.33%,,,-0.74%,63.06B
10/06/2015,Q3 15,09/15,,16.331B,16.331B,16.119B,1.32%,,,1.32%,64.42B
07/09/2015,Q2 15,06/15,,15.923B,15.923B,15.805B,0.75%,,,-1.07%,65.31B
04/23/2015,Q1 15,03/15,,12.217B,12.217B,12.205B,0.10%,,,-1.59%,66.28B
02/11/2015,Q4 14,12/14,,19.948B,19.948B,19.627B,1.63%,,,2.46%,66.68B
10/09/2014,Q3 14,09/14,,17.218B,17.218B,17.084B,0.78%,,,-0.39%,66.85B
07/23/2014,Q2 14,06/14,,16.894B,16.894B,16.805B,0.53%,,,1.85%,66.54B
04/17/2014,Q1 14,03/14,,12.623B,12.623B,12.387B,1.90%,,,0.92%,66.46B
02/13/2014,Q4 13,12/13,,20.118B,20.118B,20.136B,-0.09%,,,-2.21%,66.42B
10/16/2013,Q3 13,09/13,,16.909B,16.909B,16.960B,-0.30%,,,2.07%,
07/24/2013,Q2 13,06/13,,16.807B,16.807B,16.789B,0.11%,,,-0.65%,
04/18/2013,Q1 13,03/13,,12.581B,12.581B,12.533B,0.38%,,,3.04%,
