Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M
Average of Absolute Values,,,,,,,,,,,
01/30/2025,Q1 25,12/24,,,,10.333B,,,,,39.73B
11/01/2024,Q4 24,09/24,,,,10.195B,,,,,38.82B
08/01/2024,Q3 24,06/24,,,,9.970B,,,,,38.00B
05/02/2024,Q2 24,03/24,,,,9.234B,,,,,37.20B
01/30/2024,Q1 24,12/23,,9.425B,9.425B,9.601B,-1.83%,,,-1.12%,36.69B
11/02/2023,Q4 23,10/23,,9.374B,9.374B,9.280B,1.01%,,,9.48%,35.98B
08/01/2023,Q3 23,07/23,,9.168B,9.168B,9.283B,-1.23%,,,0.86%,35.02B
05/02/2023,Q2 23,04/23,,8.720B,8.720B,8.415B,3.63%,,,-9.17%,34.00B
02/02/2023,Q1 23,01/23,,8.714B,8.714B,8.754B,-0.46%,,,-4.44%,32.91B
11/03/2022,Q4 22,10/22,,8.414B,8.414B,8.311B,1.24%,,,8.48%,32.25B
08/02/2022,Q3 22,07/22,,8.150B,8.150B,8.141B,0.11%,,,4.25%,31.98B
05/03/2022,Q2 22,04/22,,7.636B,7.636B,7.619B,0.21%,,,9.83%,31.33B
02/01/2022,Q1 22,01/22,,8.050B,8.050B,7.961B,1.12%,,,-1.04%,30.36B
10/28/2021,Q4 21,10/21,,8.147B,8.147B,8.204B,-0.70%,,,-6.30%,29.06B
07/27/2021,Q3 21,06/21,,7.497B,7.497B,7.263B,3.21%,,,-2.87%,27.12B
04/27/2021,Q2 21,03/21,,6.668B,6.668B,6.774B,-1.57%,,,-3.23%,23.84B
01/26/2021,Q1 21,12/20,,6.749B,6.749B,6.917B,-2.43%,,,-6.51%,23.17B
10/29/2020,Q4 20,09/20,,6.203B,6.203B,6.062B,2.33%,~5.904B,5.07%,-1.52%,23.52B
07/28/2020,Q3 20,06/20,,4.222B,4.222B,4.056B,4.10%,,,3.72%,24.06B
04/28/2020,Q2 20,03/20,,5.996B,5.996B,5.895B,1.71%,,,-2.33%,26.66B
01/28/2020,Q1 20,12/19,,7.097B,7.097B,7.110B,-0.18%,,,-2.12%,26.97B
10/30/2019,Q4 19,09/19,,6.747B,6.747B,6.687B,0.90%,,,0.44%,26.51B
07/25/2019,Q3 19,06/19,,6.823B,6.823B,6.675B,2.22%,,,8.94%,26.07B
04/25/2019,Q2 19,03/19,,6.306B,6.306B,6.317B,-0.18%,,,0.44%,25.55B
01/24/2019,Q1 19,12/18,,6.633B,6.633B,6.485B,2.27%,,,3.63%,25.28B
11/01/2018,Q4 18,09/18,,6.304B,6.304B,6.274B,0.47%,,,9.70%,24.72B
07/26/2018,Q3 18,07/18,,6.310B,6.310B,6.255B,0.89%,,,1.36%,24.11B
04/26/2018,Q2 18,04/18,,6.032B,6.032B,5.934B,1.65%,,,-1.72%,23.47B
01/25/2018,Q1 18,12/17,,6.074B,6.074B,6.193B,-1.93%,,,-4.23%,22.73B
11/02/2017,Q4 17,10/17,,5.698B,5.698B,5.808B,-1.89%,,,2.11%,22.39B
07/27/2017,Q3 17,07/17,,5.662B,5.662B,5.757B,-1.67%,,,-9.24%,22.40B
04/27/2017,Q2 17,04/17,,5.294B,5.294B,5.419B,-2.30%,,,-2.02%,21.98B
01/26/2017,Q1 17,01/17,,5.733B,5.733B,5.849B,-1.98%,,,-4.00%,21.68B
11/03/2016,Q4 16,10/16,,5.711B,5.711B,5.688B,0.40%,,,1.89%,21.32B
07/21/2016,Q3 16,06/16,,5.238B,5.238B,5.336B,-1.83%,,,0.52%,20.52B
04/21/2016,Q2 16,03/16,,4.993B,4.993B,5.027B,-0.67%,,,-4.88%,20.16B
01/21/2016,Q1 16,12/15,,5.374B,5.374B,5.390B,-0.31%,,,0.24%,19.73B
10/29/2015,Q4 15,09/15,,4.915B,4.915B,4.895B,0.41%,,,0.11%,19.16B
07/23/2015,Q3 15,06/15,,4.881B,4.881B,4.868B,0.27%,,,1.29%,18.43B
04/23/2015,Q2 15,03/15,,4.564B,4.564B,4.532B,0.70%,,,4.88%,17.70B
01/22/2015,Q1 15,12/14,,4.803B,4.803B,4.797B,0.13%,,,6.62%,17.01B
10/30/2014,Q4 14,09/14,,4.181B,4.181B,4.235B,-1.28%,,,-2.28%,16.45B
07/24/2014,Q3 14,06/14,,4.154B,4.154B,4.141B,0.30%,,,-2.13%,16.06B
04/24/2014,Q2 14,03/14,,3.874B,3.874B,3.952B,-1.98%,,,0.51%,15.64B
01/23/2014,Q1 14,12/13,,4.240B,4.240B,4.294B,-1.26%,,,2.17%,15.31B
10/30/2013,Q4 13,09/13,,3.789B,3.795B,3.804B,-0.23%,~3.751B,1.17%,0.27%,
07/25/2013,Q3 13,06/13,,3.735B,,3.717B,,,,7.61%,
04/25/2013,Q2 13,03/13,,3.550B,,3.584B,,,,-0.83%,
