Ann Date,Per,Per End,C,Reported,Comp,Estimate,%Surp,Guidance,%Guid Surp,%Px Chg,T12M,P/E
Average of Absolute Values,,,,,,,,,,,,
02/20/2025,Q4 25,01/25,,,,1.933,,,,,7.07,24.81
11/15/2024,Q3 25,10/24,,,,1.65,,,,,6.94,25.28
08/16/2024,Q2 25,07/24,,,,1.917,,,,,6.85,25.61
05/17/2024,Q1 25,04/24,,,,1.571,,~1.520,,,6.77,25.91
02/20/2024,Q4 24,01/24,,1.8,1.8,1.65,9.09%,,,3.23%,6.67,24.78
11/16/2023,Q3 24,10/23,,1.56,1.53,1.516,0.92%,~1.475,3.73%,-8.09%,6.58,24.74
08/17/2023,Q2 24,07/23,,1.84,1.84,1.699,8.30%,~1.655,11.18%,-2.24%,5.47,29.01
05/18/2023,Q1 24,04/23,,1.47,1.47,1.312,12.04%,~1.275,15.29%,1.30%,5.4,27.65
02/21/2023,Q4 23,01/23,,1.71,1.71,1.517,12.72%,~1.469,16.41%,0.61%,5.23,27.1
11/15/2022,Q3 23,10/22,,0.447,1.5,1.32,13.64%,~1.415,6.01%,6.54%,5.05,27.66
08/16/2022,Q2 23,07/22,,1.77,1.77,1.626,8.86%,~1.629,8.66%,5.11%,6.05,21.32
05/17/2022,Q1 23,04/22,,1.3,1.3,1.478,-12.04%,,,-11.38%,6.06,24.58
02/17/2022,Q4 22,01/22,,1.53,1.53,1.506,1.59%,,,4.01%,6.45,21.02
11/16/2021,Q3 22,10/21,,1.45,1.45,1.404,3.28%,~1.350,7.41%,-2.55%,6.31,22.87
08/17/2021,Q2 22,07/21,,1.78,1.78,1.566,13.67%,,,-0.03%,6.2,22.13
05/18/2021,Q1 22,04/21,,1.69,1.69,1.223,38.18%,,,2.17%,5.94,22.58
02/18/2021,Q4 21,01/21,,1.39,1.39,1.503,-7.52%,,,-6.48%,5.43,24.7
11/17/2020,Q3 21,10/20,,1.34,1.34,1.183,13.27%,,,-2.01%,5.41,24.39
08/18/2020,Q2 21,07/20,,1.517,1.56,1.244,25.40%,,,-0.66%,5.23,23.44
05/19/2020,Q1 21,04/20,,1.18,1.18,1.119,5.45%,,,-2.12%,4.98,23.02
02/18/2020,Q4 20,01/20,,1.371,1.38,1.44,-4.17%,,,1.48%,4.93,21.8
11/14/2019,Q3 20,10/19,,1.16,1.16,1.086,6.81%,,,-0.27%,4.97,22.05
08/15/2019,Q2 20,07/19,,1.27,1.27,1.22,4.10%,,,6.11%,4.89,21.0
05/16/2019,Q1 20,04/19,,1.13,1.13,1.02,10.78%,,,1.43%,4.91,19.38
02/19/2019,Q4 19,01/19,,1.41,1.41,1.336,5.54%,,,2.21%,4.92,17.92
11/15/2018,Q3 19,10/18,,1.08,1.08,1.011,6.82%,,,-1.96%,4.84,18.96
08/16/2018,Q2 19,07/18,,1.288,1.29,1.224,5.39%,,,9.33%,4.76,17.06
05/17/2018,Q1 19,04/18,,1.14,1.14,1.12,1.79%,,,-1.90%,4.55,17.58
02/20/2018,Q4 18,01/18,,1.33,1.33,1.371,-2.99%,,,-10.18%,4.41,21.73
11/16/2017,Q3 18,10/17,,1.0,1.0,0.975,2.56%,~0.940,6.38%,10.90%,4.38,17.82
08/17/2017,Q2 18,07/17,,1.08,1.08,1.069,1.03%,~1.040,3.85%,-1.58%,4.36,16.3
05/18/2017,Q1 18,04/17,,1.0,1.0,0.965,3.63%,~0.950,5.26%,3.22%,4.35,15.26
02/21/2017,Q4 17,01/17,,1.3,1.3,1.29,0.78%,~1.255,3.59%,3.00%,4.33,13.51
11/17/2016,Q3 17,10/16,,0.98,0.98,0.958,2.30%,~0.950,3.16%,-3.08%,4.52,13.48
08/18/2016,Q2 17,07/16,,1.07,1.07,1.018,5.11%,~1.015,5.42%,1.88%,4.53,13.92
05/19/2016,Q1 17,04/16,,0.98,0.98,0.881,11.24%,~0.875,12.00%,9.58%,4.54,12.64
02/18/2016,Q4 16,01/16,,1.49,1.49,1.46,2.05%,~1.475,1.02%,-3.01%,4.59,12.31
11/17/2015,Q3 16,10/15,,0.989,0.99,0.976,1.43%,~0.990,0.00%,3.54%,4.68,10.33
08/18/2015,Q2 16,07/15,,1.08,1.08,1.124,-3.91%,~1.120,-3.57%,-3.38%,4.84,12.47
05/19/2015,Q1 16,04/15,,1.03,1.03,1.047,-1.62%,~1.025,0.49%,-4.37%,4.94,13.17
02/19/2015,Q4 15,01/15,,1.58,1.612,1.544,4.39%,~1.510,6.74%,-3.21%,5.01,14.05
11/13/2014,Q3 15,10/14,,1.15,1.15,1.119,2.77%,~1.150,0.00%,4.72%,4.92,12.77
08/14/2014,Q2 15,07/14,,1.177,1.21,1.213,-0.25%,~1.200,0.83%,0.49%,4.91,12.27
05/15/2014,Q1 15,04/14,,1.1,1.1,1.152,-4.51%,~1.150,-4.35%,-2.43%,4.98,13.02
02/20/2014,Q4 14,01/14,,1.496,1.6,1.588,0.76%,<1.600,0.00%,-1.78%,5.02,12.02
11/14/2013,Q3 14,10/13,,1.14,1.14,1.127,1.15%,~1.135,0.44%,0.23%,,
08/15/2013,Q2 14,07/13,,1.24,1.246,1.25,-0.29%,~1.245,0.11%,-2.60%,,
05/16/2013,Q1 14,04/13,,1.14,1.14,1.144,-0.35%,~1.135,0.44%,-1.70%,,
