Starbucks Corp | Price History                                          10-Feb-2024 22:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SBUX.O,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 01-Jan-2013 - 10-Feb-2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"24,554,269,497",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
120.00 - 130.00,"56,119,416",0.23%,8,0.29%,,,,,,,,,,,
110.00 - 120.00,"1,064,455,733",4.34%,185,6.62%,,,,,,,,,,,
100.00 - 110.00,"1,550,054,974",6.31%,232,8.30%,,,,,,,,,,,
90.00 - 100.00,"2,257,417,681",9.19%,301,10.77%,,,,,,,,,,,
80.00 - 90.00,"2,075,738,173",8.45%,270,9.66%,,,,,,,,,,,
70.00 - 80.00,"2,283,757,384",9.30%,238,8.51%,,,,,,,,,,,
60.00 - 70.00,"2,169,803,451",8.84%,199,7.12%,,,,,,,,,,,
50.00 - 60.00,"7,420,305,032",30.22%,766,27.40%,,,,,,,,,,,
40.00 - 50.00,"1,294,726,035",5.27%,136,4.86%,,,,,,,,,,,
30.00 - 40.00,"3,520,486,458",14.34%,383,13.70%,,,,,,,,,,,
20.00 - 30.00,"861,405,160",3.51%,78,2.79%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SBUX.O Statistics     Daily     02-Jan-2013 - 09-Feb-2024,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,126.32,23-Jul-2021,Max,"62,091,071",20-Jun-2018,Advancing,"12,389,679,836",Up,1443,Up,+14.73%,24-Mar-2020,Max,"3,284,571,109.44",20-Jun-2018
Low,26.26,21-Feb-2013,Min,"1,847,770",24-Dec-2019,Declining,"12,052,831,218",Down,1338,Down,-16.20%,16-Mar-2020,Min,"109,944,384.84",24-Dec-2014
Avg,69.40,,Avg,"8,781,928",,Total,"24,554,269,497",Unch,14,Period,+253.82%,02-Jan-2013 - 09-Feb-2024,Avg,"529,839,921.08",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SBUX.O History     Daily     02-Jan-2013 - 09-Feb-2024,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
09-Feb-2024,97.30,+0.71,+0.74%,96.32,96.29,97.99,"9,385,584","914,137,076.00","18,002,971,060.83",,,,,,
08-Feb-2024,96.59,+1.28,+1.34%,95.10,93.93,96.69,"9,888,133","946,573,819.00","17,088,833,984.83",,,,,,
07-Feb-2024,95.31,-0.36,-0.38%,96.24,94.43,96.66,"9,077,973","864,578,866.00","16,142,260,165.83",,,,,,
06-Feb-2024,95.67,+3.16,+3.42%,92.50,92.35,95.70,"11,531,490","1,094,983,286.00","17,006,839,031.83",,,,,,
05-Feb-2024,92.51,-0.48,-0.52%,92.78,91.90,92.87,"7,335,836","678,389,476.00","15,911,855,745.83",,,,,,
02-Feb-2024,92.99,-0.38,-0.41%,92.69,91.67,93.61,"11,366,586","1,054,360,471.00","16,590,245,221.83",,,,,,
01-Feb-2024,93.37,+0.34,+0.37%,93.10,91.87,93.60,"15,001,463","1,393,264,777.00","17,644,605,692.83",,,,,,
31-Jan-2024,93.03,-1.05,-1.12%,98.28,93.02,98.36,"26,751,776","2,529,938,957.00","16,251,340,915.83",,,,,,
30-Jan-2024,94.08,+0.28,+0.30%,93.00,92.59,94.68,"17,625,242","1,662,212,541.00","18,781,279,872.83",,,,,,
29-Jan-2024,93.80,+1.00,+1.08%,93.02,92.24,93.93,"12,728,066","1,186,927,372.00","17,119,067,331.83",,,,,,
26-Jan-2024,92.80,+0.19,+0.21%,92.92,92.41,93.49,"9,229,443","857,193,549.00","15,932,139,959.83",,,,,,
25-Jan-2024,92.61,+0.57,+0.62%,92.22,91.72,92.65,"11,991,465","1,106,002,721.00","15,074,946,410.83",,,,,,
24-Jan-2024,92.04,+0.07,+0.08%,92.55,91.99,92.84,"7,661,364","707,189,743.00","13,968,943,689.83",,,,,,
23-Jan-2024,91.97,-1.10,-1.18%,93.03,91.77,93.65,"10,227,077","945,325,422.00","13,261,753,946.83",,,,,,
22-Jan-2024,93.07,-0.79,-0.84%,93.80,92.81,93.92,"9,420,979","878,208,950.00","14,207,079,368.83",,,,,,
19-Jan-2024,93.86,+0.52,+0.56%,93.18,92.64,94.24,"9,565,850","895,856,371.00","15,085,288,318.83",,,,,,
18-Jan-2024,93.34,+1.57,+1.71%,91.96,91.82,93.43,"7,549,528","701,716,227.00","14,189,431,947.83",,,,,,
17-Jan-2024,91.77,-0.93,-1.00%,91.66,91.40,91.96,"6,672,876","611,736,021.00","13,487,715,720.83",,,,,,
16-Jan-2024,92.70,+0.72,+0.78%,92.66,91.73,92.73,"7,493,443","691,946,797.00","14,099,451,741.83",,,,,,
12-Jan-2024,91.98,-0.96,-1.03%,93.23,91.77,93.40,"5,641,163","519,836,088.00","13,407,504,944.83",,,,,,
11-Jan-2024,92.94,-0.56,-0.60%,93.33,91.90,93.64,"6,483,610","600,505,110.00","13,927,341,032.83",,,,,,
10-Jan-2024,93.50,+0.41,+0.44%,93.01,92.88,93.69,"5,847,748","545,884,301.00","14,527,846,142.83",,,,,,
09-Jan-2024,93.09,-1.10,-1.17%,93.61,92.86,93.73,"6,348,458","591,056,350.00","13,981,961,841.83",,,,,,
08-Jan-2024,94.19,+1.20,+1.29%,93.02,92.95,94.57,"7,536,873","707,563,177.00","14,573,018,191.83",,,,,,
05-Jan-2024,92.99,-0.56,-0.60%,93.33,92.48,93.58,"7,191,023","669,135,061.00","13,865,455,014.83",,,,,,
